Houses,Price,Area
60,23836050.0,2018-05-26 11:00:08.517083.area
60,23774340.0,2018-05-26 11:00:29.661209.area
60,24031320.0,2018-05-26 11:01:09.955460.area
1,610000.0,2018-05-26 11:01:10.237541.area
60,23787420.0,2018-05-26 11:01:13.154946.area
60,23530785.0,2018-05-26 11:01:15.679434.area
60,23728620.0,2018-05-26 11:01:34.735329.area
60,23822175.0,2018-05-26 11:01:48.316146.area
60,23544585.0,2018-05-26 11:01:56.776480.area
60,23250945.0,2018-05-26 11:02:04.852374.area
60,23383800.0,2018-05-26 11:02:12.584742.area
60,23848380.0,2018-05-26 11:02:18.288898.area
60,23404860.0,2018-05-26 11:02:22.438188.area
60,23121240.0,2018-05-26 11:03:15.325662.area
60,23387430.0,2018-05-26 11:03:23.633590.area
60,24136215.0,2018-05-26 11:03:27.983119.area
60,23454330.0,2018-05-26 11:03:39.461697.area
60,23467785.0,2018-05-26 11:03:59.828953.area
60,23636400.0,2018-05-26 11:04:06.712183.area
60,23540370.0,2018-05-26 11:04:27.950921.area
60,23117850.0,2018-05-26 11:05:06.386508.area
60,23592480.0,2018-05-26 11:05:09.692125.area
60,23602935.0,2018-05-26 11:05:16.658302.area
60,23501385.0,2018-05-26 11:05:22.396748.area
60,23831730.0,2018-05-26 11:05:25.307565.area
60,23451255.0,2018-05-26 11:05:36.746950.area
60,23625000.0,2018-05-26 11:05:40.792869.area
60,23557755.0,2018-05-26 11:05:53.510583.area
60,24055740.0,2018-05-26 11:05:57.198347.area
60,23657835.0,2018-05-26 11:06:31.713234.area
60,23591400.0,2018-05-26 11:06:36.236540.area
60,23435355.0,2018-05-26 11:06:52.971364.area
60,23924430.0,2018-05-26 11:07:18.127187.area
60,23920275.0,2018-05-26 11:07:23.117255.area
60,23152860.0,2018-05-26 11:07:34.316318.area
60,23236770.0,2018-05-26 11:07:47.670333.area
60,23442675.0,2018-05-26 11:07:49.388579.area
60,23484270.0,2018-05-26 11:08:01.245702.area
60,23809395.0,2018-05-26 11:08:11.103220.area
60,23088195.0,2018-05-26 11:08:17.734210.area
60,23424975.0,2018-05-26 11:08:25.670398.area
60,23730570.0,2018-05-26 11:08:30.578484.area
60,23829270.0,2018-05-26 11:08:35.237509.area
60,23324220.0,2018-05-26 11:08:38.303579.area
60,23510580.0,2018-05-26 11:09:15.564822.area
60,23792655.0,2018-05-26 11:09:17.343543.area
60,22969545.0,2018-05-26 11:09:19.898067.area
60,23482575.0,2018-05-26 11:09:22.934637.area
60,23167515.0,2018-05-26 11:09:26.602078.area
60,23370840.0,2018-05-26 11:09:35.251213.area
60,23678520.0,2018-05-26 11:09:37.445487.area
60,23484570.0,2018-05-26 11:09:47.218476.area
60,23704275.0,2018-05-26 11:09:50.680075.area
60,23657265.0,2018-05-26 11:09:54.273412.area
60,23996145.0,2018-05-26 11:09:56.389668.area
60,23705025.0,2018-05-26 11:10:05.811538.area
60,23073900.0,2018-05-26 11:10:14.445741.area
60,23534235.0,2018-05-26 11:10:32.582415.area
60,23024160.0,2018-05-26 11:10:43.718918.area
60,23320680.0,2018-05-26 11:14:56.298853.area
60,23957085.0,2018-05-26 11:15:00.530206.area
60,24140490.0,2018-05-26 11:15:04.295539.area
60,23533995.0,2018-05-26 11:15:21.740927.area
60,23841345.0,2018-05-26 11:15:42.568368.area
60,23194920.0,2018-05-26 11:15:48.890086.area
60,23891910.0,2018-05-26 11:16:01.038886.area
60,23317965.0,2018-05-26 11:16:15.389942.area
60,23794230.0,2018-05-26 11:16:33.984414.area
60,23765790.0,2018-05-26 11:16:56.347039.area
60,23609625.0,2018-05-26 11:17:07.214772.area
60,23193585.0,2018-05-26 11:17:13.907300.area
60,23462955.0,2018-05-26 11:17:21.743129.area
60,23708130.0,2018-05-26 11:17:33.309609.area
60,23437125.0,2018-05-26 11:17:42.336812.area
60,23785635.0,2018-05-26 11:17:50.007763.area
60,23588745.0,2018-05-26 11:17:53.996448.area
60,23482635.0,2018-05-26 11:18:34.613084.area
60,23580105.0,2018-05-26 11:18:37.220121.area
60,23399430.0,2018-05-26 11:18:43.899768.area
60,23744985.0,2018-05-26 11:18:49.316619.area
60,23552400.0,2018-05-26 11:18:51.670838.area
60,23301420.0,2018-05-26 11:19:13.851482.area
60,23123805.0,2018-05-26 11:19:16.040225.area
60,23575125.0,2018-05-26 11:19:47.113607.area
60,23534130.0,2018-05-26 11:19:54.850441.area
60,23757360.0,2018-05-26 11:20:28.535740.area
60,23223315.0,2018-05-26 11:20:37.588228.area
60,23531220.0,2018-05-26 11:57:47.022255.area
60,23437110.0,2018-05-26 11:58:05.130397.area
60,23414985.0,2018-05-26 11:58:24.099124.area
60,23541450.0,2018-05-26 11:58:27.814763.area
60,23807640.0,2018-05-26 11:58:36.866168.area
60,23194080.0,2018-05-26 11:58:57.396576.area
60,23138265.0,2018-05-26 11:59:08.833474.area
60,23245875.0,2018-05-26 11:59:17.806774.area
60,23431470.0,2018-05-26 11:59:24.890447.area
60,23686050.0,2018-05-26 11:59:50.045914.area
60,23407950.0,2018-05-26 11:59:57.542484.area
60,23322615.0,2018-05-26 11:59:59.946308.area
60,23521665.0,2018-05-26 12:00:02.138922.area
60,23498085.0,2018-05-26 12:01:00.658817.area
60,23601840.0,2018-05-26 12:01:04.105027.area
60,23437050.0,2018-05-26 12:01:06.662252.area
60,23488230.0,2018-05-26 12:01:11.950643.area
60,23300280.0,2018-05-26 12:01:20.841765.area
60,23253870.0,2018-05-26 12:01:27.793304.area
60,23710590.0,2018-05-26 12:01:50.683937.area
60,23098455.0,2018-05-26 12:01:53.940833.area
