Houses,Price,Area
40,16732665.0,2018-05-27 20:37:22.004014.area
40,16845465.0,2018-05-27 20:37:23.441901.area
40,17081400.0,2018-05-27 20:37:25.561541.area
40,16147680.0,2018-05-27 20:37:26.921054.area
40,16412400.0,2018-05-27 20:37:28.285960.area
40,16805505.0,2018-05-27 20:37:29.810813.area
40,16571235.0,2018-05-27 20:37:31.627415.area
40,16804470.0,2018-05-27 20:37:33.171579.area
40,16085460.0,2018-05-27 20:37:34.402936.area
40,17159790.0,2018-05-27 20:37:36.582289.area
40,16008120.0,2018-05-27 20:37:37.709366.area
40,17239380.0,2018-05-27 20:37:39.653981.area
40,16300200.0,2018-05-27 20:37:41.116432.area
40,17013285.0,2018-05-27 20:37:43.015868.area
40,16313910.0,2018-05-27 20:37:45.397075.area
40,16791705.0,2018-05-27 20:37:46.985933.area
40,16160145.0,2018-05-27 20:37:48.374452.area
40,17066685.0,2018-05-27 20:37:50.101080.area
40,16155510.0,2018-05-27 20:37:51.655735.area
40,17255355.0,2018-05-27 20:37:53.481642.area
40,16601595.0,2018-05-27 20:37:54.820269.area
40,16300110.0,2018-05-27 20:37:56.084048.area
40,16525770.0,2018-05-27 20:37:57.512537.area
40,16547715.0,2018-05-27 20:37:59.244637.area
40,16426410.0,2018-05-27 20:38:00.869006.area
40,16159530.0,2018-05-27 20:38:02.615318.area
40,17505675.0,2018-05-27 20:38:04.458855.area
40,16977990.0,2018-05-27 20:38:06.386071.area
40,16481655.0,2018-05-27 20:38:08.010504.area
40,17513685.0,2018-05-27 20:38:10.075750.area
40,16753875.0,2018-05-27 20:38:11.582036.area
40,16813350.0,2018-05-27 20:38:15.044014.area
40,17204010.0,2018-05-27 20:38:17.246360.area
40,16260330.0,2018-05-27 20:38:18.751339.area
40,16363950.0,2018-05-27 20:38:20.613386.area
40,16301370.0,2018-05-27 20:38:21.915613.area
40,16152915.0,2018-05-27 20:38:23.115102.area
40,16960485.0,2018-05-27 20:38:25.803511.area
40,16284120.0,2018-05-27 20:38:27.064677.area
40,16755135.0,2018-05-27 20:38:28.660906.area
40,16018950.0,2018-05-27 20:38:30.376932.area
40,16224855.0,2018-05-27 20:38:31.569980.area
40,17270880.0,2018-05-27 20:38:33.534055.area
40,17103255.0,2018-05-27 20:38:35.399386.area
40,16400025.0,2018-05-27 20:38:36.946141.area
40,16565070.0,2018-05-27 20:38:39.144977.area
40,16546950.0,2018-05-27 20:38:40.606257.area
40,16417005.0,2018-05-27 20:38:41.973886.area
40,17208450.0,2018-05-27 20:38:44.030128.area
40,17285385.0,2018-05-27 20:38:46.014264.area
40,16745895.0,2018-05-27 20:38:47.668014.area
40,16106175.0,2018-05-27 20:38:49.226679.area
40,17004240.0,2018-05-27 20:38:51.445540.area
40,16978200.0,2018-05-27 20:38:53.298099.area
40,17092575.0,2018-05-27 20:38:54.864118.area
40,16942305.0,2018-05-27 20:38:56.405372.area
40,16774185.0,2018-05-27 20:38:57.990832.area
40,16781805.0,2018-05-27 20:38:59.583036.area
40,16477260.0,2018-05-27 20:39:00.818406.area
40,17414865.0,2018-05-27 20:39:03.121499.area
40,16626045.0,2018-05-27 20:39:05.130415.area
40,17004105.0,2018-05-27 20:39:07.060880.area
40,16256160.0,2018-05-27 20:39:08.247484.area
40,17400405.0,2018-05-27 20:39:10.190082.area
40,17167950.0,2018-05-27 20:39:11.795081.area
40,16090605.0,2018-05-27 20:39:13.025690.area
40,16347525.0,2018-05-27 20:39:14.197032.area
40,16267155.0,2018-05-27 20:39:15.700074.area
40,16529220.0,2018-05-27 20:39:17.159547.area
40,16253760.0,2018-05-27 20:39:18.505214.area
40,16433235.0,2018-05-27 20:39:19.902819.area
40,16451355.0,2018-05-27 20:39:21.901490.area
40,16368660.0,2018-05-27 20:39:23.166573.area
40,16423335.0,2018-05-27 20:39:24.419764.area
40,16608645.0,2018-05-27 20:39:25.901068.area
40,16821615.0,2018-05-27 20:39:27.572459.area
40,16605345.0,2018-05-27 20:39:29.164374.area
40,16576500.0,2018-05-27 20:39:30.818215.area
40,16477785.0,2018-05-27 20:39:32.114051.area
40,16674000.0,2018-05-27 20:39:33.549553.area
40,17013030.0,2018-05-27 20:39:35.720402.area
40,17005875.0,2018-05-27 20:39:37.589094.area
40,16375830.0,2018-05-27 20:39:39.013391.area
40,16552005.0,2018-05-27 20:39:40.445851.area
40,16855290.0,2018-05-27 20:39:42.895074.area
40,16251795.0,2018-05-27 20:39:44.075890.area
40,16458900.0,2018-05-27 20:39:45.604398.area
40,16616430.0,2018-05-27 20:39:47.193149.area
40,17492430.0,2018-05-27 20:39:49.386392.area
40,16572945.0,2018-05-27 20:39:50.882303.area
40,17372190.0,2018-05-27 20:39:52.619435.area
40,17072355.0,2018-05-27 20:39:54.269995.area
40,15931245.0,2018-05-27 20:39:55.218770.area
40,17034645.0,2018-05-27 20:39:57.059201.area
40,16541775.0,2018-05-27 20:39:58.489943.area
40,16873620.0,2018-05-27 20:40:00.153660.area
40,16854225.0,2018-05-27 20:40:01.847685.area
40,16254750.0,2018-05-27 20:40:03.451056.area
40,16318695.0,2018-05-27 20:40:05.043205.area
40,16628025.0,2018-05-27 20:40:06.751472.area
40,16357275.0,2018-05-27 20:40:08.082907.area
40,16506150.0,2018-05-27 20:40:09.365783.area
40,16484085.0,2018-05-27 20:40:10.988175.area
40,16801590.0,2018-05-27 20:40:12.464498.area
40,16251330.0,2018-05-27 20:40:13.724736.area
40,16462545.0,2018-05-27 20:40:15.632151.area
40,16195170.0,2018-05-27 20:40:16.849361.area
40,16103640.0,2018-05-27 20:40:18.034282.area
40,16987890.0,2018-05-27 20:40:19.833105.area
40,16802460.0,2018-05-27 20:40:21.513587.area
40,16176210.0,2018-05-27 20:40:23.044403.area
40,16308075.0,2018-05-27 20:40:24.508186.area
40,16559625.0,2018-05-27 20:40:25.892395.area
40,16600335.0,2018-05-27 20:40:27.923839.area
40,17140725.0,2018-05-27 20:40:29.746940.area
40,16107960.0,2018-05-27 20:40:31.059704.area
40,16922400.0,2018-05-27 20:40:32.931519.area
40,15855345.0,2018-05-27 20:40:33.936228.area
40,16664010.0,2018-05-27 20:40:35.614863.area
40,16825650.0,2018-05-27 20:40:37.250989.area
40,16711695.0,2018-05-27 20:40:39.009145.area
40,16624185.0,2018-05-27 20:40:40.518394.area
40,17049870.0,2018-05-27 20:40:42.525732.area
40,16619355.0,2018-05-27 20:40:44.144440.area
40,16588815.0,2018-05-27 20:40:45.684234.area
40,16362495.0,2018-05-27 20:40:47.090671.area
40,16153095.0,2018-05-27 20:40:48.245994.area
40,17010030.0,2018-05-27 20:40:50.391942.area
40,17105505.0,2018-05-27 20:40:52.896926.area
40,17246760.0,2018-05-27 20:40:55.508079.area
40,16897575.0,2018-05-27 20:40:57.270431.area
40,16753875.0,2018-05-27 20:40:59.052485.area
40,16482450.0,2018-05-27 20:41:00.503767.area
40,16914405.0,2018-05-27 20:41:02.820278.area
40,16090950.0,2018-05-27 20:41:04.076135.area
40,16635495.0,2018-05-27 20:41:05.768335.area
40,16788150.0,2018-05-27 20:41:07.418872.area
40,16819755.0,2018-05-27 20:41:09.252413.area
40,16567410.0,2018-05-27 20:41:11.584316.area
40,16716885.0,2018-05-27 20:41:13.317847.area
40,16632840.0,2018-05-27 20:41:14.762592.area
40,16231605.0,2018-05-27 20:41:16.354311.area
40,16589310.0,2018-05-27 20:41:17.858222.area
40,16827870.0,2018-05-27 20:41:19.410134.area
40,16930545.0,2018-05-27 20:41:21.461347.area
40,17061765.0,2018-05-27 20:41:23.192240.area
40,18127080.0,2018-05-27 20:41:25.752575.area
40,16788225.0,2018-05-27 20:41:27.270475.area
40,17012115.0,2018-05-27 20:41:29.666254.area
40,15947805.0,2018-05-27 20:41:30.803026.area
40,16626060.0,2018-05-27 20:41:32.392454.area
40,16324425.0,2018-05-27 20:41:33.757866.area
40,16598295.0,2018-05-27 20:41:35.131419.area
40,16536240.0,2018-05-27 20:41:36.967972.area
40,16861425.0,2018-05-27 20:41:38.489502.area
40,17294565.0,2018-05-27 20:41:40.376622.area
40,16681950.0,2018-05-27 20:41:42.121637.area
40,17008350.0,2018-05-27 20:41:43.727573.area
40,17133330.0,2018-05-27 20:41:45.370268.area
40,16757895.0,2018-05-27 20:41:46.825510.area
40,16162035.0,2018-05-27 20:41:48.083817.area
40,16354080.0,2018-05-27 20:41:49.407976.area
40,16387425.0,2018-05-27 20:41:51.091881.area
40,17976075.0,2018-05-27 20:41:53.126491.area
40,16590765.0,2018-05-27 20:41:54.560774.area
40,17255130.0,2018-05-27 20:41:56.490199.area
40,17006325.0,2018-05-27 20:41:59.134619.area
40,16954185.0,2018-05-27 20:42:00.564031.area
40,17484375.0,2018-05-27 20:42:02.287129.area
40,16644150.0,2018-05-27 20:42:03.950861.area
40,16090755.0,2018-05-27 20:42:05.171865.area
40,16203165.0,2018-05-27 20:42:06.480228.area
40,16399320.0,2018-05-27 20:42:07.737973.area
40,18024345.0,2018-05-27 20:42:09.908170.area
40,16708695.0,2018-05-27 20:42:11.490068.area
40,16683885.0,2018-05-27 20:42:12.930322.area
