Houses,Price,Area
60,23295855.0,2018-05-27 15:35:33.908316.area
60,23759370.0,2018-05-27 15:35:48.488498.area
60,23343015.0,2018-05-27 15:37:25.751167.area
60,23881560.0,2018-05-27 15:37:30.427178.area
60,23277270.0,2018-05-27 15:37:55.534547.area
60,23221710.0,2018-05-27 15:38:09.902125.area
60,23448465.0,2018-05-27 15:38:44.236158.area
60,23841930.0,2018-05-27 15:38:54.285973.area
60,23497485.0,2018-05-27 15:39:27.385522.area
60,24101130.0,2018-05-27 15:39:30.509508.area
60,24310410.0,2018-05-27 15:39:44.145211.area
60,23355525.0,2018-05-27 15:39:46.399008.area
60,24035820.0,2018-05-27 15:39:59.682401.area
60,24152580.0,2018-05-27 15:40:08.702328.area
60,23319975.0,2018-05-27 15:40:20.362372.area
60,23323185.0,2018-05-27 15:40:30.417079.area
60,23353725.0,2018-05-27 15:40:34.045938.area
60,23253705.0,2018-05-27 15:40:43.227021.area
60,23848800.0,2018-05-27 15:41:12.105865.area
60,23798715.0,2018-05-27 15:41:47.059523.area
60,23901465.0,2018-05-27 15:41:59.681324.area
60,23032005.0,2018-05-27 15:42:01.863985.area
60,23268330.0,2018-05-27 15:42:03.762204.area
60,23200155.0,2018-05-27 15:42:06.267725.area
60,23663370.0,2018-05-27 15:42:17.143576.area
60,24098670.0,2018-05-27 15:42:23.821426.area
60,23373915.0,2018-05-27 15:42:29.803656.area
60,24165720.0,2018-05-27 15:42:33.811200.area
60,23414385.0,2018-05-27 15:42:36.050853.area
60,24025050.0,2018-05-27 15:42:38.309220.area
60,23632665.0,2018-05-27 15:42:42.345209.area
60,23315415.0,2018-05-27 15:43:03.439944.area
60,23060910.0,2018-05-27 15:43:18.976445.area
60,23721615.0,2018-05-27 15:43:22.817958.area
60,23583750.0,2018-05-27 16:16:32.105171.area
60,23503245.0,2018-05-27 16:16:37.561655.area
60,23758425.0,2018-05-27 16:16:58.760430.area
60,23287065.0,2018-05-27 16:17:17.924188.area
60,23497470.0,2018-05-27 16:17:24.242508.area
60,23921805.0,2018-05-27 16:17:38.937208.area
60,23571495.0,2018-05-27 16:18:32.976504.area
60,23951685.0,2018-05-27 16:38:40.761383.area
60,23516085.0,2018-05-27 16:39:13.227631.area
60,23170755.0,2018-05-27 16:39:32.424916.area
60,23409810.0,2018-05-27 16:39:43.117847.area
60,23529405.0,2018-05-27 16:40:12.470773.area
60,24399780.0,2018-05-27 16:40:21.968486.area
60,24165780.0,2018-05-27 16:40:24.946566.area
60,23860185.0,2018-05-27 16:40:31.276040.area
60,23226345.0,2018-05-27 16:40:49.810503.area
60,23467620.0,2018-05-27 16:40:54.821864.area
60,23638260.0,2018-05-27 16:41:00.703561.area
60,23647695.0,2018-05-27 16:41:05.661412.area
60,23000595.0,2018-05-27 16:41:18.145324.area
60,23611650.0,2018-05-27 16:41:41.816681.area
60,23372145.0,2018-05-27 16:41:45.449194.area
60,23568135.0,2018-05-27 16:41:55.941623.area
60,23671485.0,2018-05-27 16:42:11.741489.area
60,23486430.0,2018-05-27 16:42:13.812770.area
60,23159460.0,2018-05-27 16:42:18.197876.area
60,23460870.0,2018-05-27 16:42:37.973309.area
60,23332725.0,2018-05-27 16:42:40.065978.area
60,23560470.0,2018-05-27 16:42:49.056717.area
60,25100010.0,2018-05-27 16:42:55.111387.area
60,23893035.0,2018-05-27 16:43:20.139760.area
60,23636805.0,2018-05-27 16:43:26.776842.area
60,23371875.0,2018-05-27 16:43:28.739804.area
60,23711760.0,2018-05-27 16:43:33.205778.area
60,23872845.0,2018-05-27 16:43:46.602487.area
60,24084225.0,2018-05-27 16:44:07.882863.area
60,23328360.0,2018-05-27 16:44:37.518630.area
60,23834775.0,2018-05-27 16:44:50.125649.area
60,23605950.0,2018-05-27 16:45:04.912752.area
60,23213625.0,2018-05-27 16:45:16.054694.area
60,24168885.0,2018-05-27 16:45:22.289472.area
60,23551440.0,2018-05-27 16:45:24.763130.area
60,23636025.0,2018-05-27 16:45:36.007215.area
60,23532855.0,2018-05-27 16:45:38.571476.area
60,23262450.0,2018-05-27 16:46:08.825576.area
60,23748210.0,2018-05-27 16:46:12.790184.area
